Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100072,Female,Yes,3+,Graduate,,8887.0,0,239.0,300,,Semiurban,Y
LP100073,Male,No,0,Graduate,Yes,5836.0,0,,180,0.0,Urban,N
LP100074,Male,Yes,3+,Not Graduate,Yes,5267.0,0,522.0,120,1.0,Rural,N
LP100075,Male,Yes,1,Graduate,Yes,4289.0,0,147.0,180,0.0,Urban,N
LP100076,Male,No,0,Graduate,No,4084.0,13650,301.0,240,,Semiurban,Y
LP100077,Male,Yes,0,Not Graduate,No,7953.0,0,612.0,180,1.0,Rural,N
LP100078,Male,No,2,Graduate,No,2097.0,0,563.0,120,1.0,Semiurban,Y
LP100079,Female,Yes,2,Not Graduate,No,22232.0,0,223.0,180,0.0,Rural,N
LP100080,Female,No,1,Not Graduate,No,12062.0,0,613.0,360,0.0,Rural,N
LP100081,Female,Yes,3+,Graduate,No,6090.0,0,137.0,120,1.0,Semiurban,Y
LP100082,Male,No,2,Not Graduate,Yes,10082.0,0,351.0,300,0.0,Semiurban,N
LP100083,Female,Yes,2,Graduate,,,0,291.0,300,1.0,Urban,Y
LP100084,Female,No,1,Not Graduate,No,11311.0,0,291.0,300,0.0,Urban,N
LP100085,Female,Yes,1,Not Graduate,Yes,2225.0,0,175.0,180,,Rural,N
LP100086,Male,Yes,3+,Not Graduate,No,7459.0,12367,548.0,120,0.0,Rural,N
LP100087,Female,Yes,1,Graduate,Yes,11076.0,0,561.0,120,1.0,Urban,Y
LP100088,Female,Yes,0,Graduate,No,24499.0,0,259.0,240,,Urban,N
LP100089,Female,No,1,Graduate,No,,10303,404.0,120,0.0,Urban,N
LP100090,Male,Yes,2,Not Graduate,No,23091.0,0,648.0,120,0.0,Semiurban,N
LP100091,Female,No,2,Not Graduate,No,17701.0,0,235.0,120,1.0,Rural,Y
LP100092,Male,No,1,Graduate,Yes,11659.0,0,653.0,240,0.0,Semiurban,N
LP100093,Female,No,2,Not Graduate,Yes,22916.0,0,,120,1.0,Urban,Y
LP100094,Female,Yes,1,Not Graduate,No,12505.0,9954,328.0,360,0.0,Rural,N
LP100095,Female,Yes,0,Graduate,No,15113.0,11122,103.0,240,1.0,Rural,Y
LP100096,Female,No,2,Not Graduate,Yes,5296.0,0,384.0,240,0.0,Rural,N
LP100097,Female,Yes,2,Not Graduate,No,15406.0,0,555.0,300,0.0,Rural,N
LP100098,Female,No,0,Not Graduate,No,5360.0,0,555.0,240,0.0,Rural,N
LP100099,Male,No,0,Not Graduate,Yes,23326.0,11711,105.0,300,0.0,Rural,N
LP100100,Male,Yes,0,Graduate,Yes,9549.0,0,600.0,180,1.0,Semiurban,Y
LP100101,Male,No,0,Graduate,Yes,19556.0,0,409.0,180,1.0,Rural,Y
LP100102,Male,No,1,Graduate,Yes,11199.0,0,460.0,300,1.0,Semiurban,Y
LP100103,Male,Yes,3+,Not Graduate,Yes,13966.0,0,186.0,240,0.0,Rural,N
LP100104,Female,No,2,Not Graduate,No,20033.0,0,81.0,180,1.0,Semiurban,Y
LP100105,Female,No,1,Not Graduate,No,23114.0,0,332.0,240,0.0,Urban,N
LP100106,Female,Yes,3+,Graduate,No,12394.0,0,513.0,120,1.0,Urban,Y
LP100107,Male,Yes,1,Graduate,No,12338.0,0,674.0,360,1.0,Semiurban,Y
LP100108,Male,No,2,Graduate,Yes,5517.0,4657,104.0,180,0.0,Semiurban,N
LP100109,Female,Yes,2,Graduate,Yes,23919.0,0,227.0,240,1.0,Rural,Y
LP100110,Male,Yes,3+,Not Graduate,Yes,8083.0,0,481.0,180,1.0,Semiurban,Y
LP100111,Male,No,3+,Not Graduate,No,9837.0,0,103.0,240,,Urban,N
LP100112,Male,Yes,1,Not Graduate,Yes,4611.0,0,598.0,360,0.0,Urban,N
LP100113,Female,Yes,1,Not Graduate,Yes,2675.0,2215,428.0,180,0.0,Rural,N
LP100114,Male,Yes,0,Not Graduate,No,10248.0,1571,,360,1.0,Rural,Y
LP100115,Female,Yes,0,Not Graduate,Yes,7209.0,0,537.0,300,0.0,Semiurban,N
LP100116,Female,No,2,Not Graduate,No,18786.0,0,584.0,240,1.0,Urban,Y
LP100117,Male,No,0,Not Graduate,No,4178.0,0,637.0,120,1.0,Rural,N
LP100118,Male,No,2,Graduate,No,6244.0,0,90.0,360,1.0,Rural,Y
LP100119,Male,Yes,2,Not Graduate,Yes,24257.0,0,52.0,300,1.0,Semiurban,Y
LP100120,Male,No,0,Not Graduate,No,14924.0,0,320.0,180,0.0,Semiurban,N
LP100121,Female,Yes,2,Graduate,Yes,17326.0,0,357.0,180,0.0,Rural,N
LP100122,Male,No,3+,Graduate,Yes,7736.0,0,405.0,300,0.0,Rural,N
LP100123,Female,Yes,3+,Not Graduate,No,17168.0,2216,542.0,240,0.0,Urban,N
LP100124,Male,No,2,Not Graduate,Yes,,0,656.0,240,0.0,Urban,N
LP100125,Male,Yes,0,Graduate,No,22234.0,2409,378.0,120,0.0,Semiurban,N
LP100126,Male,No,1,Graduate,No,5338.0,0,123.0,240,1.0,Urban,Y
LP100127,Female,No,1,Graduate,No,5246.0,0,675.0,180,1.0,Urban,Y
LP100128,Female,Yes,3+,Not Graduate,No,14635.0,0,649.0,180,1.0,Urban,Y
LP100129,Male,No,2,Not Graduate,No,14504.0,0,301.0,120,1.0,Urban,Y
LP100130,Female,No,2,Not Graduate,No,8885.0,13678,395.0,300,0.0,Semiurban,N
LP100131,Male,Yes,1,Graduate,Yes,15320.0,2216,62.0,360,1.0,Rural,Y
LP100132,Male,No,2,Graduate,No,24556.0,1015,312.0,240,1.0,Urban,Y
LP100133,Male,Yes,2,Graduate,Yes,15449.0,0,219.0,180,,Rural,N
LP100134,Male,Yes,3+,Not Graduate,No,2455.0,3526,127.0,240,0.0,Rural,N
LP100135,Male,No,1,Graduate,No,22306.0,0,59.0,240,0.0,Urban,N
LP100136,Male,Yes,3+,Graduate,,10313.0,0,596.0,240,0.0,Semiurban,N
LP100137,Male,No,0,Not Graduate,Yes,11001.0,0,442.0,240,0.0,Rural,N
LP100138,Female,Yes,2,Graduate,No,5343.0,11854,59.0,180,1.0,Rural,Y
LP100139,Male,No,2,Not Graduate,Yes,21348.0,0,72.0,300,0.0,Rural,N
LP100140,Female,No,3+,Graduate,Yes,19842.0,0,276.0,300,0.0,Urban,N
LP100141,Female,Yes,1,Graduate,No,3157.0,0,540.0,120,1.0,Urban,Y
LP100142,Female,No,3+,Graduate,Yes,2522.0,0,642.0,300,0.0,Urban,N
LP100143,Male,No,1,Graduate,Yes,20506.0,0,565.0,180,1.0,Rural,Y
LP100144,Male,Yes,2,Not Graduate,Yes,5791.0,0,632.0,240,1.0,Rural,N
LP100145,Male,No,3+,Graduate,No,2178.0,0,274.0,120,1.0,Urban,Y
LP100146,Male,No,1,Not Graduate,Yes,5868.0,0,293.0,300,1.0,Rural,Y
LP100147,Male,Yes,0,Graduate,No,22018.0,0,468.0,180,1.0,Urban,Y
LP100148,Male,Yes,0,Not Graduate,No,17813.0,0,237.0,300,0.0,Rural,N
LP100149,Female,No,0,Graduate,Yes,13899.0,0,200.0,300,1.0,Urban,Y
LP100150,Female,No,0,Graduate,Yes,20178.0,0,161.0,300,1.0,Urban,Y
LP100151,Female,Yes,2,Graduate,No,8808.0,0,499.0,120,1.0,Semiurban,Y
LP100152,Male,No,2,Graduate,No,10610.0,0,671.0,240,1.0,Urban,Y
LP100153,Male,No,3+,Not Graduate,No,13984.0,0,520.0,240,1.0,Urban,Y
LP100154,Female,Yes,0,Not Graduate,No,13257.0,0,324.0,300,1.0,Urban,Y
LP100155,Female,Yes,0,Graduate,No,19133.0,0,140.0,120,0.0,Rural,N
LP100156,Female,No,2,Graduate,Yes,22031.0,0,557.0,120,1.0,Urban,Y
LP100157,Female,No,0,Graduate,No,10506.0,11890,65.0,240,1.0,Semiurban,Y
LP100158,Male,Yes,0,Graduate,No,4324.0,6028,279.0,180,1.0,Urban,Y
LP100159,Male,Yes,1,Graduate,Yes,14028.0,0,131.0,240,0.0,Urban,N
LP100160,Female,No,2,Graduate,Yes,18333.0,0,280.0,360,0.0,Semiurban,N
LP100161,Male,No,2,Not Graduate,,3738.0,0,493.0,120,,Rural,N
LP100162,Male,No,0,Not Graduate,No,,0,535.0,300,1.0,Semiurban,N
LP100163,Female,No,1,Not Graduate,No,9267.0,0,357.0,180,1.0,Rural,Y
LP100164,Male,Yes,0,Not Graduate,,14956.0,3703,107.0,300,0.0,Rural,N
LP100165,Male,Yes,1,Not Graduate,No,22718.0,0,526.0,360,0.0,Rural,N
LP100166,Female,Yes,1,Not Graduate,Yes,23458.0,0,514.0,120,1.0,Rural,Y
LP100167,Male,Yes,1,Graduate,No,12925.0,0,547.0,240,0.0,Semiurban,N
LP100168,Male,No,1,Graduate,Yes,2740.0,0,467.0,360,1.0,Rural,Y
LP100169,Female,No,3+,Graduate,No,18913.0,0,,300,1.0,Urban,Y
LP100170,Female,No,3+,Not Graduate,Yes,2690.0,0,252.0,240,0.0,Rural,N
LP100171,Female,No,2,Graduate,Yes,12494.0,0,526.0,240,1.0,Urban,Y
LP100172,Male,No,2,Not Graduate,Yes,7562.0,1701,468.0,240,0.0,Urban,N
LP100173,Male,Yes,0,Graduate,Yes,14044.0,2461,220.0,300,0.0,Rural,N
LP100174,Female,Yes,3+,Graduate,No,9935.0,0,534.0,240,0.0,Urban,N
LP100175,Male,No,3+,Not Graduate,No,7142.0,0,479.0,120,1.0,Semiurban,N
LP100176,Male,No,3+,Graduate,No,18521.0,0,208.0,360,0.0,Urban,N
LP100177,Male,No,1,Graduate,Yes,15476.0,0,399.0,120,1.0,Semiurban,Y
LP100178,Female,No,2,Not Graduate,Yes,,0,604.0,120,0.0,Semiurban,N
LP100179,Male,No,2,Not Graduate,Yes,19982.0,0,560.0,300,0.0,Rural,N
LP100180,Male,Yes,3+,Not Graduate,No,3466.0,0,244.0,300,0.0,Urban,N
LP100181,Male,No,1,Not Graduate,No,23734.0,0,247.0,180,1.0,Rural,Y
LP100182,Female,No,1,Graduate,No,13843.0,0,540.0,120,1.0,Rural,Y
LP100183,Female,Yes,0,Not Graduate,No,3864.0,0,,240,0.0,Urban,N
LP100184,Male,Yes,3+,Not Graduate,Yes,12547.0,8446,166.0,360,0.0,Semiurban,N
LP100185,Male,Yes,1,Not Graduate,Yes,7472.0,0,688.0,120,,Urban,N
LP100186,Female,No,0,Graduate,Yes,16155.0,0,154.0,300,0.0,Rural,N
LP100187,Male,Yes,0,Not Graduate,No,20778.0,0,273.0,180,1.0,Urban,Y
LP100188,Female,Yes,0,Graduate,Yes,6918.0,0,435.0,180,1.0,Rural,Y
LP100189,Male,No,2,Not Graduate,Yes,11144.0,0,318.0,120,0.0,Semiurban,N
LP100190,Male,Yes,2,Not Graduate,No,17828.0,7994,265.0,180,1.0,Urban,Y
LP100191,Female,Yes,3+,Not Graduate,Yes,9941.0,0,310.0,300,0.0,Rural,N
LP100192,Female,No,3+,Graduate,Yes,,13206,222.0,240,1.0,Rural,Y
LP100193,Male,No,0,Not Graduate,Yes,16253.0,0,185.0,240,0.0,Urban,N
LP100194,Male,No,3+,Not Graduate,,4505.0,0,430.0,180,1.0,Rural,N
LP100195,Male,No,2,Not Graduate,Yes,15536.0,12307,684.0,240,1.0,Rural,Y
LP100196,Female,No,1,Graduate,Yes,18667.0,0,326.0,240,1.0,Semiurban,Y
LP100197,Female,Yes,2,Not Graduate,No,4795.0,10863,122.0,240,0.0,Urban,N
LP100198,Female,Yes,1,Graduate,Yes,6644.0,10776,527.0,300,1.0,Rural,Y
LP100199,Female,Yes,1,Graduate,No,15958.0,11384,,360,1.0,Rural,Y
LP100200,Female,Yes,0,Not Graduate,No,18138.0,14198,483.0,120,0.0,Rural,N
LP100009,Male,No,2,Graduate,No,14255.0,0,597.0,240,0.0,Rural,N
LP100026,Male,Yes,3+,Not Graduate,Yes,4429.0,0,348.0,240,1.0,Semiurban,Y
